id,open,high,low,close,volume,adj_close,company,exchange,date
26,172.125,175.95,170.7,175.08,116998851.0,175.08,AAPL,XNAS,2021-12-08
27,169.08,171.58,168.34,171.18,117482381.0,171.18,AAPL,XNAS,2021-12-07
28,164.29,167.8799,164.28,165.32,107496982.0,165.32,AAPL,XNAS,2021-12-06
29,164.02,164.96,159.72,161.84,117938300.0,161.84,AAPL,XNAS,2021-12-03
30,158.74,164.2,157.8,163.76,136474900.0,163.76,AAPL,XNAS,2021-12-02
31,167.48,170.295,164.53,164.77,145135682.0,164.77,AAPL,XNAS,2021-12-01
32,159.99,165.52,159.92,165.3,173758500.0,165.3,AAPL,XNAS,2021-11-30
33,159.37,161.19,158.7901,160.24,88748217.0,160.24,AAPL,XNAS,2021-11-29
34,159.57,160.45,156.36,156.81,76959800.0,156.81,AAPL,XNAS,2021-11-26
35,160.75,162.14,159.64,161.94,69342151.0,161.94,AAPL,XNAS,2021-11-24
36,161.12,161.8,159.07,161.41,96041899.0,161.41,AAPL,XNAS,2021-11-23
37,161.68,165.7,161.0,161.02,117467889.0,161.02,AAPL,XNAS,2021-11-22
38,157.65,161.02,156.53,160.55,117147500.0,160.55,AAPL,XNAS,2021-11-19
39,153.71,158.67,153.05,157.87,137659100.0,157.87,AAPL,XNAS,2021-11-18
40,150.995,155.0,150.995,153.49,88807000.0,153.49,AAPL,XNAS,2021-11-17
41,149.94,151.49,149.34,151.0,59047800.0,151.0,AAPL,XNAS,2021-11-16
42,150.37,151.88,149.43,150.0,59077700.0,150.0,AAPL,XNAS,2021-11-15
43,148.43,150.4,147.48,149.99,63632600.0,149.99,AAPL,XNAS,2021-11-12
44,148.96,149.43,147.68,147.87,40788000.0,147.87,AAPL,XNAS,2021-11-11
45,150.02,150.1297,147.85,147.92,65187092.0,147.92,AAPL,XNAS,2021-11-10
46,150.2,151.428,150.07,150.81,52994252.0,150.81,AAPL,XNAS,2021-11-09
47,151.41,151.55,150.16,150.44,54773446.0,150.44,AAPL,XNAS,2021-11-08
48,151.89,152.2,150.06,151.28,65414600.0,151.28,AAPL,XNAS,2021-11-05
